INSERT INTO Color_vehiculo (id_color, nombre_color) VALUES
(1, 'Naranja 0'),
(2, 'Amarillo 1'),
(3, 'Amarillo 2'),
(4, 'Verde 3'),
(5, 'Verde 4'),
(6, 'Negro 5'),
(7, 'Gris 6'),
(8, 'Gris 7'),
(9, 'Vino 8'),
(10, 'Amarillo 9'),
(11, 'Amarillo 10'),
(12, 'Amarillo 11'),
(13, 'Azul 12'),
(14, 'Blanco 13'),
(15, 'Plateado 14'),
(16, 'Gris 15'),
(17, 'Naranja 16'),
(18, 'Rojo 17'),
(19, 'Naranja 18'),
(20, 'Negro 19'),
(21, 'Negro 20'),
(22, 'Amarillo 21'),
(23, 'Azul 22'),
(24, 'Verde 23'),
(25, 'Vino 24'),
(26, 'Blanco 25'),
(27, 'Vino 26'),
(28, 'Naranja 27'),
(29, 'Plateado 28'),
(30, 'Vino 29'),
(31, 'Naranja 30'),
(32, 'Negro 31'),
(33, 'Naranja 32'),
(34, 'Rojo 33'),
(35, 'Naranja 34'),
(36, 'Verde 35'),
(37, 'Negro 36'),
(38, 'Gris 37'),
(39, 'Gris 38'),
(40, 'Rojo 39'),
(41, 'Plateado 40'),
(42, 'Gris 41'),
(43, 'Blanco 42'),
(44, 'Plateado 43'),
(45, 'Verde 44'),
(46, 'Verde 45'),
(47, 'Verde 46'),
(48, 'Rojo 47'),
(49, 'Blanco 48'),
(50, 'Amarillo 49'),
(51, 'Verde 50'),
(52, 'Vino 51'),
(53, 'Blanco 52'),
(54, 'Gris 53'),
(55, 'Blanco 54'),
(56, 'Plateado 55'),
(57, 'Blanco 56'),
(58, 'Amarillo 57'),
(59, 'Naranja 58'),
(60, 'Blanco 59'),
(61, 'Blanco 60'),
(62, 'Rojo 61'),
(63, 'Vino 62'),
(64, 'Plateado 63'),
(65, 'Plateado 64'),
(66, 'Verde 65'),
(67, 'Vino 66'),
(68, 'Azul 67'),
(69, 'Azul 68'),
(70, 'Naranja 69'),
(71, 'Vino 70'),
(72, 'Amarillo 71'),
(73, 'Vino 72'),
(74, 'Verde 73'),
(75, 'Rojo 74'),
(76, 'Amarillo 75'),
(77, 'Plateado 76'),
(78, 'Plateado 77'),
(79, 'Plateado 78'),
(80, 'Vino 79'),
(81, 'Vino 80'),
(82, 'Naranja 81'),
(83, 'Azul 82'),
(84, 'Plateado 83'),
(85, 'Rojo 84'),
(86, 'Plateado 85'),
(87, 'Gris 86'),
(88, 'Blanco 87'),
(89, 'Plateado 88'),
(90, 'Negro 89'),
(91, 'Plateado 90'),
(92, 'Vino 91'),
(93, 'Plateado 92'),
(94, 'Plateado 93'),
(95, 'Plateado 94'),
(96, 'Plateado 95'),
(97, 'Vino 96'),
(98, 'Verde 97'),
(99, 'Blanco 98'),
(100, 'Negro 99'),
(101, 'Azul 100'),
(102, 'Vino 101'),
(103, 'Plateado 102'),
(104, 'Negro 103'),
(105, 'Amarillo 104'),
(106, 'Verde 105'),
(107, 'Verde 106'),
(108, 'Verde 107'),
(109, 'Gris 108'),
(110, 'Blanco 109'),
(111, 'Vino 110'),
(112, 'Blanco 111'),
(113, 'Vino 112'),
(114, 'Naranja 113'),
(115, 'Blanco 114'),
(116, 'Plateado 115'),
(117, 'Azul 116'),
(118, 'Vino 117'),
(119, 'Amarillo 118'),
(120, 'Vino 119'),
(121, 'Azul 120'),
(122, 'Rojo 121'),
(123, 'Plateado 122'),
(124, 'Vino 123'),
(125, 'Blanco 124'),
(126, 'Negro 125'),
(127, 'Verde 126'),
(128, 'Vino 127'),
(129, 'Amarillo 128'),
(130, 'Gris 129'),
(131, 'Rojo 130'),
(132, 'Rojo 131'),
(133, 'Rojo 132'),
(134, 'Verde 133'),
(135, 'Vino 134'),
(136, 'Azul 135'),
(137, 'Rojo 136'),
(138, 'Gris 137'),
(139, 'Plateado 138'),
(140, 'Blanco 139'),
(141, 'Verde 140'),
(142, 'Negro 141'),
(143, 'Vino 142'),
(144, 'Amarillo 143'),
(145, 'Blanco 144'),
(146, 'Naranja 145'),
(147, 'Blanco 146'),
(148, 'Naranja 147'),
(149, 'Vino 148'),
(150, 'Naranja 149'),
(151, 'Vino 150'),
(152, 'Azul 151'),
(153, 'Verde 152'),
(154, 'Naranja 153'),
(155, 'Blanco 154'),
(156, 'Rojo 155'),
(157, 'Naranja 156'),
(158, 'Amarillo 157'),
(159, 'Negro 158'),
(160, 'Rojo 159'),
(161, 'Gris 160'),
(162, 'Azul 161'),
(163, 'Verde 162'),
(164, 'Rojo 163'),
(165, 'Azul 164'),
(166, 'Negro 165'),
(167, 'Blanco 166'),
(168, 'Plateado 167'),
(169, 'Rojo 168'),
(170, 'Rojo 169'),
(171, 'Blanco 170'),
(172, 'Plateado 171'),
(173, 'Naranja 172'),
(174, 'Plateado 173'),
(175, 'Verde 174'),
(176, 'Rojo 175'),
(177, 'Rojo 176'),
(178, 'Plateado 177'),
(179, 'Naranja 178'),
(180, 'Plateado 179'),
(181, 'Negro 180'),
(182, 'Plateado 181'),
(183, 'Gris 182'),
(184, 'Vino 183'),
(185, 'Vino 184'),
(186, 'Naranja 185'),
(187, 'Negro 186'),
(188, 'Negro 187'),
(189, 'Azul 188'),
(190, 'Verde 189'),
(191, 'Vino 190'),
(192, 'Naranja 191'),
(193, 'Vino 192'),
(194, 'Rojo 193'),
(195, 'Naranja 194'),
(196, 'Naranja 195'),
(197, 'Plateado 196'),
(198, 'Negro 197'),
(199, 'Negro 198'),
(200, 'Verde 199');
