INSERT INTO Tipo_vehiculo (id_tipo, nombre_tipo) VALUES
(1, 'Sedan 0'),
(2, 'Coupé 1'),
(3, 'Pick-Up 2'),
(4, 'Convertible 3'),
(5, 'Coupé 4'),
(6, 'Van 5'),
(7, 'Pick-Up 6'),
(8, 'Sedan 7'),
(9, 'Camioneta 8'),
(10, 'Camioneta 9'),
(11, 'Coupé 10'),
(12, 'Van 11'),
(13, 'Hatchback 12'),
(14, 'SUV 13'),
(15, 'Pick-Up 14'),
(16, 'Camioneta 15'),
(17, 'SUV 16'),
(18, 'Coupé 17'),
(19, 'Camioneta 18'),
(20, 'SUV 19'),
(21, 'Coupé 20'),
(22, 'Camioneta 21'),
(23, 'Pick-Up 22'),
(24, 'Coupé 23'),
(25, 'Camioneta 24'),
(26, 'Convertible 25'),
(27, 'Pick-Up 26'),
(28, 'Van 27'),
(29, 'SUV 28'),
(30, 'Camioneta 29'),
(31, 'Camioneta 30'),
(32, 'Convertible 31'),
(33, 'Camioneta 32'),
(34, 'Camioneta 33'),
(35, 'Pick-Up 34'),
(36, 'Van 35'),
(37, 'Pick-Up 36'),
(38, 'Camioneta 37'),
(39, 'Van 38'),
(40, 'SUV 39'),
(41, 'Sedan 40'),
(42, 'Sedan 41'),
(43, 'Convertible 42'),
(44, 'Convertible 43'),
(45, 'Pick-Up 44'),
(46, 'Coupé 45'),
(47, 'Coupé 46'),
(48, 'Sedan 47'),
(49, 'Sedan 48'),
(50, 'Coupé 49'),
(51, 'Pick-Up 50'),
(52, 'Pick-Up 51'),
(53, 'Van 52'),
(54, 'Hatchback 53'),
(55, 'SUV 54'),
(56, 'SUV 55'),
(57, 'Sedan 56'),
(58, 'Coupé 57'),
(59, 'Hatchback 58'),
(60, 'SUV 59'),
(61, 'SUV 60'),
(62, 'Camioneta 61'),
(63, 'Camioneta 62'),
(64, 'Convertible 63'),
(65, 'Sedan 64'),
(66, 'Convertible 65'),
(67, 'Coupé 66'),
(68, 'Hatchback 67'),
(69, 'Van 68'),
(70, 'Hatchback 69'),
(71, 'Pick-Up 70'),
(72, 'Convertible 71'),
(73, 'Hatchback 72'),
(74, 'Coupé 73'),
(75, 'Sedan 74'),
(76, 'Coupé 75'),
(77, 'Coupé 76'),
(78, 'Convertible 77'),
(79, 'Sedan 78'),
(80, 'SUV 79'),
(81, 'Coupé 80'),
(82, 'Pick-Up 81'),
(83, 'Pick-Up 82'),
(84, 'Coupé 83'),
(85, 'Sedan 84'),
(86, 'Pick-Up 85'),
(87, 'Hatchback 86'),
(88, 'Pick-Up 87'),
(89, 'Convertible 88'),
(90, 'Coupé 89'),
(91, 'Convertible 90'),
(92, 'Hatchback 91'),
(93, 'Convertible 92'),
(94, 'Camioneta 93'),
(95, 'Convertible 94'),
(96, 'Pick-Up 95'),
(97, 'Hatchback 96'),
(98, 'Coupé 97'),
(99, 'Hatchback 98'),
(100, 'Van 99'),
(101, 'Coupé 100'),
(102, 'Camioneta 101'),
(103, 'Convertible 102'),
(104, 'Camioneta 103'),
(105, 'Convertible 104'),
(106, 'Hatchback 105'),
(107, 'Van 106'),
(108, 'Camioneta 107'),
(109, 'Pick-Up 108'),
(110, 'SUV 109'),
(111, 'Convertible 110'),
(112, 'SUV 111'),
(113, 'Convertible 112'),
(114, 'Camioneta 113'),
(115, 'Sedan 114'),
(116, 'Hatchback 115'),
(117, 'Convertible 116'),
(118, 'Camioneta 117'),
(119, 'SUV 118'),
(120, 'Coupé 119'),
(121, 'Camioneta 120'),
(122, 'Pick-Up 121'),
(123, 'Pick-Up 122'),
(124, 'Hatchback 123'),
(125, 'Van 124'),
(126, 'Hatchback 125'),
(127, 'Pick-Up 126'),
(128, 'Convertible 127'),
(129, 'Hatchback 128'),
(130, 'Coupé 129'),
(131, 'Van 130'),
(132, 'Hatchback 131'),
(133, 'Pick-Up 132'),
(134, 'Coupé 133'),
(135, 'Camioneta 134'),
(136, 'Hatchback 135'),
(137, 'Pick-Up 136'),
(138, 'Camioneta 137'),
(139, 'Convertible 138'),
(140, 'Hatchback 139'),
(141, 'Camioneta 140'),
(142, 'SUV 141'),
(143, 'Coupé 142'),
(144, 'Pick-Up 143'),
(145, 'Hatchback 144'),
(146, 'Hatchback 145'),
(147, 'Van 146'),
(148, 'Van 147'),
(149, 'Coupé 148'),
(150, 'Hatchback 149'),
(151, 'Camioneta 150'),
(152, 'Convertible 151'),
(153, 'Pick-Up 152'),
(154, 'Coupé 153'),
(155, 'Camioneta 154'),
(156, 'Convertible 155'),
(157, 'Pick-Up 156'),
(158, 'Sedan 157'),
(159, 'Pick-Up 158'),
(160, 'Camioneta 159'),
(161, 'Convertible 160'),
(162, 'Convertible 161'),
(163, 'SUV 162'),
(164, 'Sedan 163'),
(165, 'Coupé 164'),
(166, 'Pick-Up 165'),
(167, 'Camioneta 166'),
(168, 'Sedan 167'),
(169, 'Hatchback 168'),
(170, 'SUV 169'),
(171, 'Sedan 170'),
(172, 'Convertible 171'),
(173, 'SUV 172'),
(174, 'Van 173'),
(175, 'Sedan 174'),
(176, 'Camioneta 175'),
(177, 'Coupé 176'),
(178, 'Van 177'),
(179, 'Convertible 178'),
(180, 'Coupé 179'),
(181, 'Hatchback 180'),
(182, 'Convertible 181'),
(183, 'Sedan 182'),
(184, 'Coupé 183'),
(185, 'SUV 184'),
(186, 'Camioneta 185'),
(187, 'Hatchback 186'),
(188, 'Coupé 187'),
(189, 'Camioneta 188'),
(190, 'Sedan 189'),
(191, 'Convertible 190'),
(192, 'Coupé 191'),
(193, 'Hatchback 192'),
(194, 'Coupé 193'),
(195, 'Sedan 194'),
(196, 'SUV 195'),
(197, 'Pick-Up 196'),
(198, 'Hatchback 197'),
(199, 'SUV 198'),
(200, 'Van 199');
